brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
mercedes-benz,eqs 450 4matic,210,118.0,lithium-ion,487,800.0,180,655,5.7,160.0,ccs,1700.0,620.0,5,awd,f - luxury,5223,1926,1518,sedan,https://ev-database.org/car/2194/Mercedes-Benz-EQS-450-4MATIC
mercedes-benz,eqs 450+,210,118.0,lithium-ion,487,568.0,173,685,6.2,160.0,ccs,750.0,620.0,5,rwd,f - luxury,5223,1926,1518,sedan,https://ev-database.org/car/2193/Mercedes-Benz-EQS-450plus
mercedes-benz,eqs 500 4matic,210,118.0,lithium-ion,487,828.0,180,640,4.9,160.0,ccs,1700.0,620.0,5,awd,f - luxury,5223,1926,1518,sedan,https://ev-database.org/car/2195/Mercedes-Benz-EQS-500-4MATIC
mercedes-benz,eqs 580 4matic,210,118.0,lithium-ion,487,858.0,180,640,4.4,160.0,ccs,1700.0,620.0,5,awd,f - luxury,5223,1926,1518,sedan,https://ev-database.org/car/2196/Mercedes-Benz-EQS-580-4MATIC
mercedes-benz,eqs amg 53 4matic+,250,118.0,lithium-ion,487,1020.0,222,585,3.4,160.0,ccs,1700.0,620.0,5,awd,f - luxury,5223,1926,1518,sedan,https://ev-database.org/car/2197/Mercedes-Benz-EQS-AMG-53-4MATICplus
mercedes-benz,eqs suv 450 4matic,210,118.0,lithium-ion,487,800.0,199,530,6.1,160.0,ccs,1800.0,645.0,7,awd,jf - luxury,5125,1959,1718,suv,https://ev-database.org/car/2088/Mercedes-Benz-EQS-SUV-450-4MATIC
mercedes-benz,eqs suv 450+,210,118.0,lithium-ion,487,568.0,195,540,6.8,160.0,ccs,750.0,645.0,7,rwd,jf - luxury,5125,1959,1718,suv,https://ev-database.org/car/2087/Mercedes-Benz-EQS-SUV-450plus
mercedes-benz,eqs suv 500 4matic,210,118.0,lithium-ion,487,828.0,199,530,5.3,160.0,ccs,1800.0,645.0,7,awd,jf - luxury,5125,1959,1718,suv,https://ev-database.org/car/2089/Mercedes-Benz-EQS-SUV-500-4MATIC
mercedes-benz,eqs suv 580 4matic,210,118.0,lithium-ion,487,858.0,199,530,4.7,160.0,ccs,1800.0,13.0,7,awd,jf - luxury,5125,1959,1718,suv,https://ev-database.org/car/2090/Mercedes-Benz-EQS-SUV-580-4MATIC
mercedes-benz,eqs suv maybach 680,210,118.0,lithium-ion,487,950.0,211,490,4.4,160.0,ccs,1800.0,440.0,4,awd,jf - luxury,5125,1959,1725,suv,https://ev-database.org/car/2086/Mercedes-Benz-EQS-SUV-Maybach-680
